dt,temp,prcp
2015-01-01,12.7,0
2015-01-02,12.7,0
2015-01-03,12.3,0
2015-01-04,12.4,0
2015-01-05,13.8,0
2015-01-06,12.7,0
2015-01-07,9.3,0.3
2015-01-08,8.8,0.5
2015-01-09,9.3,0
2015-01-10,9.8,0
2015-01-11,11.8,0
2015-01-12,13.9,0
2015-01-13,15.5,0
2015-01-14,12.3,0
2015-01-15,13.5,0
2015-01-16,14.6,0
2015-01-17,13.6,0
2015-01-18,12.9,0
2015-01-19,13.8,0
2015-01-20,15.2,0
2015-01-21,17.7,0
2015-01-22,19.7,0
2015-01-23,19.8,0
2015-01-24,17.1,0
2015-01-25,16.5,0
2015-01-26,16.3,0
2015-01-27,16.7,0
2015-01-28,14.7,0
2015-01-29,14.6,0
2015-01-30,14.5,0
2015-01-31,14.8,0
2015-02-01,16.8,0
2015-02-02,17.9,0
2015-02-03,17.4,0
2015-02-04,15.6,0
2015-02-05,15.5,0
2015-02-06,20.7,0
2015-02-07,18.6,0
2015-02-08,16,0
2015-02-09,15.6,0
2015-02-10,14.6,0
2015-02-11,11.3,0
2015-02-12,11.2,0
2015-02-13,12.4,0
2015-02-14,13.6,0
2015-02-15,12.8,0.3
2015-02-16,12.9,0
2015-02-17,13.4,0
2015-02-18,12.9,0
2015-02-19,8.9,0.5
2015-02-20,10.4,0
2015-02-21,12.6,0.8
2015-02-22,14.2,0
2015-02-23,16.7,0
2015-02-24,15.4,0.5
2015-02-25,16.2,1
2015-02-26,16.9,0
2015-02-27,21.1,0
2015-02-28,17.1,0
2015-03-01,15.6,0
2015-03-02,16.2,0
2015-03-03,17.3,0
2015-03-04,16.7,0
2015-03-05,15.8,0
2015-03-06,18.5,0
2015-03-07,19.9,0
2015-03-08,23.9,0
2015-03-09,18.6,0
2015-03-10,19,0
2015-03-11,17.7,0.3
2015-03-12,16.6,0
2015-03-13,17.1,0
2015-03-14,18.7,0
2015-03-15,16.2,0
2015-03-16,15.5,0
2015-03-17,16.1,0
2015-03-18,16.3,0
2015-03-19,16.1,0
2015-03-20,16.1,0
2015-03-21,16.2,0
2015-03-22,15,0
2015-03-23,17.1,0
2015-03-24,20.4,0
2015-03-25,20.7,0
2015-03-26,21.9,0
2015-03-27,28.3,0
2015-03-28,23.2,0
2015-03-29,21,0
2015-03-30,19.6,0
2015-03-31,20.2,0
2015-04-01,18.7,0
2015-04-02,21.4,0
2015-04-03,20.2,0
2015-04-04,18.3,0
