DATE,CU.Count,CU.mavg.2day,CU.mavg.3day,CU.mavg.5day,CU.mavg.8day,MA.Count,MA.mavg.2day,MA.mavg.3day,MA.mavg.5day,MA.mavg.8day,GDELT.Doc.Count,Tone,SD1.Tone,SD2.Tone,SD3.Tone,Pos.Tone,Neg.Tone,SD1.Neg.Tone,SD2.Neg.Tone,SD3.Neg.Tone,Polarity,SD1.Polarity,SD2.Polarity,SD3.Polarity,Active.Refs,Self.Ref,Word.Count
2015-05-01,18,,,,,5,,,,,6,-4.02590361107113,FALSE,FALSE,FALSE,1.77759562570755,5.80349923677868,FALSE,FALSE,FALSE,7.58109486248623,FALSE,FALSE,FALSE,16.8573892162212,0.293221944065826,571.666666666667
2015-05-02,1,9.5,,,,0,0,,,,3,-1.14682498669459,FALSE,FALSE,FALSE,2.61543990527558,3.76226489197018,FALSE,FALSE,FALSE,6.37770479724576,FALSE,FALSE,FALSE,17.7562665887699,0.464961806708733,1363.33333333333
2015-05-03,2,1.5,7,,,0,0,0.333333333333333,,,1,0.56497175141243,TRUE,FALSE,FALSE,2.25988700564972,1.69491525423729,FALSE,FALSE,FALSE,3.95480225988701,FALSE,FALSE,FALSE,22.0338983050847,0,162
2015-05-04,3,2.5,2,,,0,0.5,0.333333333333333,,,1,0.15748031496063,TRUE,FALSE,FALSE,3.22834645669291,3.07086614173228,FALSE,FALSE,FALSE,6.2992125984252,FALSE,FALSE,FALSE,17.7165354330709,0.15748031496063,1156
2015-05-05,5,4,3.33333333333333,5.8,,1,0.5,0.666666666666667,0.6,,0,,,,,,,,,,,,,,,,
2015-05-06,5,5,4.33333333333333,3.2,,0,0.5,0.333333333333333,0.6,,4,-3.86332337857191,FALSE,FALSE,FALSE,1.33783215330912,5.20115553188103,FALSE,FALSE,FALSE,6.53898768519014,FALSE,FALSE,FALSE,17.4486785794139,0.352425567868276,513.75
2015-05-07,2,3.5,4,3.4,,1,0.5,0.666666666666667,0.6,,3,0.3138698963064,TRUE,FALSE,FALSE,2.94558648411425,2.63171658780785,FALSE,FALSE,FALSE,5.5773030719221,FALSE,FALSE,FALSE,16.7779138162263,0.564304877692737,1540.66666666667
2015-05-08,19,10.5,8.66666666666667,6.8,6.875,0,0.5,0.666666666666667,0.4,0.5,7,-0.827957758312774,FALSE,FALSE,FALSE,2.57342022613554,3.40137798444831,FALSE,FALSE,FALSE,5.97479821058385,FALSE,FALSE,FALSE,18.991315934011,0.515384123889166,759.285714285714
2015-05-09,1,10,7.33333333333333,6.4,4.75,1,1,0.666666666666667,0.4,0.5,1,-4.41988950276243,FALSE,FALSE,FALSE,0.552486187845304,4.97237569060773,FALSE,FALSE,FALSE,5.52486187845304,FALSE,FALSE,FALSE,14.9171270718232,0.552486187845304,167
2015-05-10,2,1.5,7.33333333333333,5.8,4.875,1,0.5,0.333333333333333,0.4,0.75,2,0.848141217052579,TRUE,FALSE,FALSE,3.69424677785535,2.84610556080277,FALSE,FALSE,FALSE,6.54035233865811,FALSE,FALSE,FALSE,22.5922645062507,0.76586433260394,775
