DATE,CU.Count,MA.Count,GDELT.Doc.Count,Pos.Tone,Neg.Tone,CU.Count.t1,MA.Count.t1,GDELT.Doc.Count.t1,Pos.Tone.t1,Neg.Tone.t1,CU.Count.t2,MA.Count.t2,GDELT.Doc.Count.t2,Pos.Tone.t2,Neg.Tone.t2,CU.Count.t3,MA.Count.t3,GDELT.Doc.Count.t3,Pos.Tone.t3,Neg.Tone.t3,CU.Count.t4,MA.Count.t4,GDELT.Doc.Count.t4,Pos.Tone.t4,Neg.Tone.t4,CU.Count.t5,MA.Count.t5,GDELT.Doc.Count.t5,Pos.Tone.t5,Neg.Tone.t5,CU.Count.t6,MA.Count.t6,GDELT.Doc.Count.t6,Pos.Tone.t6,Neg.Tone.t6,CU.Count.t7,MA.Count.t7,GDELT.Doc.Count.t7,Pos.Tone.t7,Neg.Tone.t7,CU.Count.t8,MA.Count.t8,GDELT.Doc.Count.t8,Pos.Tone.t8,Neg.Tone.t8,CU.Count.t9,MA.Count.t9,GDELT.Doc.Count.t9,Pos.Tone.t9,Neg.Tone.t9,CU.Count.t10,MA.Count.t10,GDELT.Doc.Count.t10,Pos.Tone.t10,Neg.Tone.t10,CU.Count.t11,MA.Count.t11,GDELT.Doc.Count.t11,Pos.Tone.t11,Neg.Tone.t11,CU.Count.t12,MA.Count.t12,GDELT.Doc.Count.t12,Pos.Tone.t12,Neg.Tone.t12,CU.Count.t13,MA.Count.t13,GDELT.Doc.Count.t13,Pos.Tone.t13,Neg.Tone.t13,CU.Count.t14,MA.Count.t14,GDELT.Doc.Count.t14,Pos.Tone.t14,Neg.Tone.t14,CU.Count.t15,MA.Count.t15,GDELT.Doc.Count.t15,Pos.Tone.t15,Neg.Tone.t15,CU.Count.t16,MA.Count.t16,GDELT.Doc.Count.t16,Pos.Tone.t16,Neg.Tone.t16,temp,prcp,is_weekend,is_holiday
2015-05-01,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,0,1,1
2015-05-02,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,0,0,0
2015-05-03,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,0,0,0
2015-05-04,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,0,0,0
2015-05-05,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,0,0,0
2015-05-06,5,0,4,1.33783215330912,5.20115553188103,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,0,0,0
2015-05-07,2,1,3,2.94558648411425,2.63171658780785,5,0,4,1.33783215330912,5.20115553188103,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,0,1,0
2015-05-08,19,0,7,2.57342022613554,3.40137798444831,2,1,3,2.94558648411425,2.63171658780785,5,0,4,1.33783215330912,5.20115553188103,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,0,1,0
2015-05-09,1,1,1,0.552486187845304,4.97237569060773,19,0,7,2.57342022613554,3.40137798444831,2,1,3,2.94558648411425,2.63171658780785,5,0,4,1.33783215330912,5.20115553188103,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,0,0,0
2015-05-10,2,1,2,3.69424677785535,2.84610556080277,1,1,1,0.552486187845304,4.97237569060773,19,0,7,2.57342022613554,3.40137798444831,2,1,3,2.94558648411425,2.63171658780785,5,0,4,1.33783215330912,5.20115553188103,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,0,0,0
2015-05-11,5,0,0,,,2,1,2,3.69424677785535,2.84610556080277,1,1,1,0.552486187845304,4.97237569060773,19,0,7,2.57342022613554,3.40137798444831,2,1,3,2.94558648411425,2.63171658780785,5,0,4,1.33783215330912,5.20115553188103,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,0,0,0
2015-05-12,1,0,4,3.00258704879604,3.6871383619765,5,0,0,,,2,1,2,3.69424677785535,2.84610556080277,1,1,1,0.552486187845304,4.97237569060773,19,0,7,2.57342022613554,3.40137798444831,2,1,3,2.94558648411425,2.63171658780785,5,0,4,1.33783215330912,5.20115553188103,5,1,0,,,3,0,1,3.22834645669291,3.07086614173228,2,0,1,2.25988700564972,1.69491525423729,1,0,3,2.61543990527558,3.76226489197018,18,5,6,1.77759562570755,5.80349923677868,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,0,0,0
